Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-M-D Traffic (StL Index),Origin Zone Traffic (StL Index),Middle Filter Zone Traffic (StL Index),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),59,562,177,177,30
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),384,3755,2217,2129,56
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),3045,17414,10023,9698,130
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1656,12063,6031,5884,75
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),769,5026,2217,2188,46
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),9,40193,19787,9483,819
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),9,12231,5976,3115,819
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),17,40193,19787,16184,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),9,8384,4066,2835,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),9,12231,5976,5714,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),16,39929,19065,17343,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),16,10753,4852,3616,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),30,38820,20666,14280,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,16,Stillwater Blvd South,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),30,12063,6031,4553,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),26,40193,19787,12676,440
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),9,8384,4066,2076,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),9,15128,7302,5156,291
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),9,12231,5976,4441,588
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),31,39929,19065,13132,440
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),16,13571,5838,4571,291
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,17,58th St East,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),16,12099,5932,5024,588
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),26,40193,19787,11429,538
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),9,8384,4066,1884,N/A
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,18,North Stillwater Blvd,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),17,12231,5976,4004,538
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,18,North Stillwater Blvd,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),59,38820,20666,11649,538
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,18,North Stillwater Blvd,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),59,12063,6031,3962,538
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),9,40193,19787,1631,338
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),9,12231,5976,489,338
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),16,39929,19065,1816,338
Personal,6,West TH 36,yes,N/A,no,1,Manning Ave,N/A,no,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),16,12099,5932,563,338
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),96,40193,7939,11071,489
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),9,8384,1361,2530,1101
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),17,15128,3289,4249,535
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),52,12231,2792,3341,361
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),17,4031,445,881,519
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),110,39929,7779,11411,516
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),16,10753,1534,3052,1101
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),16,13571,2880,3991,564
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),63,12099,2974,3365,321
