Device Type,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Zone Traffic (Trip Counts),Zone Traffic (StL Index)
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),923,619
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2613,1331
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),5059,2640
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),2035,1066
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),1269,779
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),8220,7662
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),577,667
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1824,1615
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),3635,3286
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),1342,1211
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),842,883
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),1371,2856
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),176,428
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),212,404
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),447,852
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),296,616
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),240,556
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),57254,27787
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),3136,1619
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),17301,8172
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),22274,10762
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),10754,5091
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),3789,2143
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),42943,36130
